Name,CBO,NOC,WMC,RFC,DIT,LCOM,SLOC,change
org.apache.click.extras.spring.SpringClickServlet,17,0,5,58,2,76,124,yes
org.apache.click.extras.tree.CheckboxTree,20,0,14,159,2,92,259,yes
org.apache.click.extras.tree.CheckboxTree.BaseCheckboxJavascriptRenderer,6,0,4,22,1,50,37,no
org.apache.click.extras.tree.CheckboxTree.CheckboxCookieHandler,4,0,2,27,1,0,11,yes
org.apache.click.extras.tree.CheckboxTree.CheckboxCookieJavascriptRenderer,5,0,5,25,2,19,20,no
org.apache.click.extras.tree.CheckboxTree.CheckboxSessionHandler,4,0,2,24,1,0,11,yes
org.apache.click.extras.tree.CheckboxTree.CheckboxSessionJavascriptRenderer,4,0,4,23,2,0,17,no
org.apache.click.extras.tree.Tree,32,2,87,145,1,97,1026,yes
org.apache.click.extras.tree.Tree.AbstractJavascriptRenderer,6,3,5,18,0,66,23,yes
org.apache.click.extras.tree.Tree.CookieHandler,15,1,12,25,0,83,101,yes
org.apache.click.extras.tree.Tree.CookieRenderer,4,1,2,20,1,0,18,yes
org.apache.click.extras.tree.Tree.Entry,3,0,1,14,0,33,11,no
org.apache.click.extras.tree.Tree.SessionHandler,12,1,9,22,0,77,107,yes
org.apache.click.extras.tree.Tree.SessionRenderer,3,1,1,19,1,0,7,no
org.apache.click.extras.tree.TreeNode,14,0,39,52,0,95,206,yes
org.apache.click.extras.tree.TreeTest,10,0,11,24,1,70,113,yes
org.apache.click.MockContainer,24,0,36,49,0,91,313,yes
org.apache.click.MockContainerTest,18,0,5,18,1,0,124,yes
org.apache.click.MockContext,16,0,13,73,1,0,100,yes
org.apache.click.MockContextTest,6,0,1,14,1,0,7,yes
org.apache.click.MockPrincipalTest,4,0,2,15,1,0,20,no
org.apache.click.MockRequestTest,7,0,1,14,1,0,25,yes
org.apache.click.Page,21,25,44,57,0,96,281,yes
org.apache.click.pages.BinaryPage,3,0,1,58,1,0,10,yes
org.apache.click.pages.BorderPage,1,1,1,58,1,0,5,yes
org.apache.click.pages.BorderTestPage,1,0,1,59,2,0,6,yes
org.apache.click.pages.FormPage,2,0,2,59,1,0,10,yes
org.apache.click.pages.ForwardPage,3,0,2,59,1,0,9,yes
org.apache.click.pages.JspPage,0,0,0,57,1,0,2,yes
org.apache.click.pages.JspRedirectPage,0,0,1,59,2,0,5,yes
org.apache.click.pages.ListenerPage,4,0,1,58,1,50,16,yes
org.apache.click.pages.RedirectPage,3,0,2,59,1,0,9,yes
org.apache.click.pages.RedirectToHtm,0,0,1,58,1,0,5,yes
org.apache.click.pages.RedirectToJsp,2,1,1,58,1,0,5,yes
org.apache.click.pages.RedirectToSelfPage,1,0,1,58,1,0,5,yes
org.apache.click.pages.SetPathToJspPage,1,0,1,58,1,0,6,yes
org.apache.click.pages.TestPage,1,0,1,58,1,0,6,yes
org.apache.click.PageTest,15,0,8,21,1,0,96,yes
org.apache.click.service.ClickResourceService,15,0,10,23,0,70,109,no
org.apache.click.service.CommonsFileUploadService,10,1,8,21,0,62,76,yes
org.apache.click.service.ConsoleLogService,6,0,17,30,0,85,74,no
org.apache.click.service.DeployUtils,27,0,14,27,0,78,247,yes
org.apache.click.service.TemplateException,6,0,10,54,0,85,74,no
org.apache.click.service.VelocityTemplateService,26,0,7,20,0,74,330,yes
org.apache.click.service.VelocityTemplateService.LogChuteAdapter,10,0,4,17,0,43,67,yes
org.apache.click.service.XmlConfigService,57,0,58,71,0,95,1137,yes
org.apache.click.service.XmlConfigService.ExcludePage,2,0,1,58,1,0,8,yes
org.apache.click.servlet.MockPrincipal,3,1,9,22,0,77,37,no
org.apache.click.servlet.MockRequest,37,1,97,110,0,96,598,yes
org.apache.click.servlet.MockRequest.UploadedFile,2,0,7,20,0,57,28,yes
org.apache.click.servlet.MockRequestDispatcher,4,0,3,16,0,0,14,no
org.apache.click.servlet.MockResponse,20,0,48,61,0,92,266,yes
org.apache.click.servlet.MockServletConfig,5,0,13,26,0,76,49,yes
org.apache.click.servlet.MockServletContext,28,0,43,56,0,93,358,yes
org.apache.click.servlet.MockSession,10,0,24,37,0,86,94,yes
org.apache.click.servlet.MockTests,18,0,5,18,1,0,103,yes
org.apache.click.util.ActionListenerAdaptor,3,0,2,15,0,33,12,no
