classname,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
jEdit-org-gjt-sp-jedit-buffer-UndoManager-CompoundEdit.java,0,0,3,18,36,1,33,yes
jEdit-org-gjt-sp-jedit-buffer-UndoManager-Edit.java,0,3,2,15,5,0,100,yes
jEdit-org-gjt-sp-jedit-buffer-UndoManager-Insert.java,3,0,3,18,27,1,8,yes
jEdit-org-gjt-sp-jedit-buffer-UndoManager-Remove.java,4,0,3,18,27,1,8,yes
jEdit-org-gjt-sp-jedit-buffer-UndoManager-UndoManager.java,1,0,2,15,14,0,50,yes
jEdit-org-gjt-sp-jedit-BufferHistory-BufferHistory.java,32,0,12,25,345,0,70,no
jEdit-org-gjt-sp-jedit-BufferHistory-Entry.java,3,0,3,16,24,0,46,yes
jEdit-org-gjt-sp-jedit-BufferHistory-RecentHandler.java,10,0,3,34,63,0,61,no
jEdit-org-gjt-sp-jedit-bufferio-BufferAutosaveRequest-BufferAutosaveRequest.java,15,0,2,30,59,2,0,yes
jEdit-org-gjt-sp-jedit-bufferio-BufferInsertRequest-BufferInsertRequest.java,15,0,2,30,69,2,0,yes
jEdit-org-gjt-sp-jedit-bufferio-BufferIORequest-BufferIORequest.java,26,4,9,28,263,1,83,yes
jEdit-org-gjt-sp-jedit-bufferio-BufferLoadRequest-BufferLoadRequest.java,34,0,7,35,276,2,0,yes
jEdit-org-gjt-sp-jedit-bufferio-BufferSaveRequest-BufferSaveRequest.java,18,0,4,32,152,2,0,yes
jEdit-org-gjt-sp-jedit-bufferio-MarkersSaveRequest-MarkersSaveRequest.java,17,0,3,32,80,1,33,yes
jEdit-org-gjt-sp-jedit-bufferset-BufferSetAdapter-BufferSetAdapter.java,16,0,17,30,231,0,67,no
jEdit-org-gjt-sp-jedit-bufferset-BufferSet-BufferSet.java,2,0,1,14,12,0,0,no
jEdit-org-gjt-sp-jedit-bufferset-BufferSetManager-BufferSetManager.java,2,0,1,14,6,0,0,no
jEdit-org-gjt-sp-jedit-bufferset-BufferSet-NameSorter.java,1,0,4,17,15,0,0,no
jEdit-org-gjt-sp-jedit-bufferset-BufferSet-PathSorter.java,22,0,17,30,270,0,70,no
jEdit-org-gjt-sp-jedit-datatransfer-JEditDataFlavor-JEditDataFlavor.java,3,0,0,13,5,0,0,no
jEdit-org-gjt-sp-jedit-datatransfer-JEditRichText-JEditRichText.java,4,0,4,17,23,0,37,no
jEdit-org-gjt-sp-jedit-datatransfer-JEditTransferable-JEditTransferable.java,5,0,4,17,25,0,37,no
jEdit-org-gjt-sp-jedit-datatransfer-ListVFSFileTransferable-ListVFSFileTransferable.java,12,0,4,17,48,0,58,no
jEdit-org-gjt-sp-jedit-datatransfer-RichJEditTextTransferableService-RichJEditTextTransferableService.java,6,0,2,15,11,0,0,no
