Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,change
com.logicaldoc.gui.common.client.beans.GUIWFState,6,0,41,54,161,95,0,yes
com.logicaldoc.gui.common.client.beans.GUIWorkflow,4,0,27,40,114,92,0,yes
com.logicaldoc.gui.common.client.Common,1,0,2,15,9,0,0,no
com.logicaldoc.gui.common.client.Constants,1,0,0,13,80,0,0,yes
com.logicaldoc.gui.common.client.data.ArchivedDocsDS,3,0,1,14,29,0,1,no
com.logicaldoc.gui.common.client.data.ArchivesDS,3,0,1,14,24,0,1,no
com.logicaldoc.gui.common.client.data.AttributeOptionsDS,1,0,1,14,19,0,1,no
com.logicaldoc.gui.common.client.data.AttributeSetsDS,1,0,1,14,13,0,1,no
com.logicaldoc.gui.common.client.data.BookmarksDS,0,0,1,14,21,0,1,no
com.logicaldoc.gui.common.client.data.CalendarEventsDS,1,0,1,14,15,0,1,yes
com.logicaldoc.gui.common.client.data.ChannelsDS,1,0,1,14,12,0,1,no
com.logicaldoc.gui.common.client.data.ContactsDS,2,0,1,14,16,0,1,no
com.logicaldoc.gui.common.client.data.DeletedDocsDS,2,0,1,14,34,0,1,no
com.logicaldoc.gui.common.client.data.DiscussionsDS,0,0,1,14,16,0,1,no
com.logicaldoc.gui.common.client.data.DocumentAliasesDS,0,0,1,14,18,0,1,no
com.logicaldoc.gui.common.client.data.DocumentHistoryDS,3,0,3,16,29,33,1,no
com.logicaldoc.gui.common.client.data.DocumentsDS,8,0,3,16,145,66,1,yes
com.logicaldoc.gui.common.client.data.DropboxDS,2,0,1,14,23,0,1,no
com.logicaldoc.gui.common.client.data.DuplicatesDS,0,0,1,14,27,0,1,no
com.logicaldoc.gui.common.client.data.EmailAccountsDS,0,0,1,14,12,0,1,no
com.logicaldoc.gui.common.client.data.EventsDS,1,0,1,14,13,0,1,yes
com.logicaldoc.gui.common.client.data.FeedMessagesDS,0,0,1,14,18,0,1,no
com.logicaldoc.gui.common.client.data.FolderAliasesDS,0,0,1,14,15,0,1,no
com.logicaldoc.gui.common.client.data.FolderHistoryDS,1,0,1,14,14,0,1,no
com.logicaldoc.gui.common.client.data.FoldersDS,2,0,2,15,31,50,1,yes
com.logicaldoc.gui.common.client.data.FolderTemplatesDS,0,0,1,14,12,0,1,no
com.logicaldoc.gui.common.client.data.FormsDS,0,0,1,14,12,0,1,no
com.logicaldoc.gui.common.client.data.GarbageDS,0,0,1,14,19,0,1,no
com.logicaldoc.gui.common.client.data.GroupsDS,1,0,1,14,13,0,1,no
com.logicaldoc.gui.common.client.data.ImpexFoldersDS,0,0,1,14,11,0,1,no
com.logicaldoc.gui.common.client.data.ImportFoldersDS,1,0,1,14,14,0,1,no
com.logicaldoc.gui.common.client.data.IncrementalArchivesDS,1,0,1,14,16,0,1,no
com.logicaldoc.gui.common.client.data.LanguagesDS,3,0,1,14,13,0,1,no
com.logicaldoc.gui.common.client.data.LinksDS,0,0,1,14,18,0,1,no
com.logicaldoc.gui.common.client.data.LockedDocsDS,2,0,1,14,31,0,1,no
com.logicaldoc.gui.common.client.data.MenusDS,1,0,1,14,18,0,1,no
com.logicaldoc.gui.common.client.data.MessagesDS,0,0,1,14,17,0,1,no
com.logicaldoc.gui.common.client.data.NotesDS,2,0,1,14,23,0,1,no
com.logicaldoc.gui.common.client.data.ParsersDS,0,0,2,15,22,50,1,no
com.logicaldoc.gui.common.client.data.PropertiesDS,0,0,1,14,12,0,1,no
com.logicaldoc.gui.common.client.data.ReportsDS,0,0,1,14,20,0,1,no
com.logicaldoc.gui.common.client.data.RetentionPoliciesDS,0,0,1,14,16,0,1,no
